[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.003833s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002572s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run CheckLang Behavior [ RunTime:0.004548s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007256s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.004616s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.004726s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.020774s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020869s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_filter ] --START--
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run ContentReplace Behavior [ RunTime:0.005835s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run TokenBuild Behavior [ RunTime:0.003470s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002698s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.002687s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015003s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_end ] --START--
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.003330s ]
[ 2014-10-24T09:59:10+08:00 ] /Index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.003461s ]
[ 2014-10-24T09:59:10+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:36+08:00 ] /Admin/Goods | ERR: (ThinkException) 无法加载模块Goods
[ 2014-10-24T09:59:40+08:00 ] /Admin/Goods | ERR: (ThinkException) 无法加载模块Goods
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.003551s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.003696s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003590s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.004114s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008120s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: member_type MemberAction.class.php 第 13 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: keywords MemberAction.class.php 第 18 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.008624s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` LIMIT 1   [ RunTime:0.000358s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 48 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 49 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.006257s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.006437s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 296 行.
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.045112s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045208s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.004549s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.002715s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002694s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.002711s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012911s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.002777s ]
[ 2014-10-24T09:59:42+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.002852s ]
[ 2014-10-24T09:59:42+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:42+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:42+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:42+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-24T09:59:43+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.002873s ]
