[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: status MemberAction.class.php 第 26 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.006197s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` WHERE status = 1 LIMIT 1   [ RunTime:0.000353s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 49 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 50 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.001471s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.001543s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 312 行.
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.022884s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022982s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.001069s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.002273s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000491s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.000927s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005131s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.000876s ]
[ 2014-10-23T15:36:43+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.001009s ]
[ 2014-10-23T15:36:43+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:44+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:44+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T15:36:44+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.001832s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.001961s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001517s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.002321s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003979s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: member_type MemberAction.class.php 第 13 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: keywords MemberAction.class.php 第 18 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.007062s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` LIMIT 1   [ RunTime:0.000351s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 48 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 49 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.002314s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.002393s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 296 行.
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.042551s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042629s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run ContentReplace Behavior [ RunTime:0.001863s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run TokenBuild Behavior [ RunTime:0.001341s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001041s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.001224s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005710s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --START--
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.001144s ]
[ 2014-10-23T16:04:56+08:00 ] /Admin/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.001210s ]
[ 2014-10-23T16:04:56+08:00 ] /Public/Images/icon_search.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:56+08:00 ] /Public/Images/th_bg.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:56+08:00 ] /Public/Images/icon_add.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:56+08:00 ] /Public/Images/loading2.gif | ERR: (ThinkException) 非法操作Images
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run CheckRoute Behavior [ RunTime:0.001716s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ route_check ] --END-- [ RunTime:0.001806s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003592s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run CheckLang Behavior [ RunTime:0.003272s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007160s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: member_type MemberAction.class.php 第 13 行.
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined index: keywords MemberAction.class.php 第 18 行.
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | SQL: SHOW COLUMNS FROM `lj_member` [ RunTime:0.007967s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | SQL: SELECT COUNT(id) AS tp_count FROM `lj_member` LIMIT 1   [ RunTime:0.000865s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: page MemberAction.class.php 第 48 行.
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: list MemberAction.class.php 第 49 行.
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.004727s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.004846s ]
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: first bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 54 行.
[ 2014-10-23T16:04:57+08:00 ] /Admin/Member | NOTIC: [8] Undefined variable: category bef4bd0f8de2f9e7c61e27f50758b6f7.php 第 296 行.
